ID,DATE,SYMBOL,STATUS,QUANTITY,PRICE,ORDER_TYPE,PLATFORM,MARGIN,VALUE,SYSTEM,DETAILS
15946495,02-01-2025,VICI Properties,Realizované,60,29.00,Buy Limit,xS5,-,1740.00,-,-
15445231,20-11-2024,Rio Tinto,Realizované,9,62.45,Buy Limit,xS5,-,562.05,-,-
15445159,20-11-2024,ASML,Realizované,1,650.00,Buy Limit,xS5,-,650.00,-,-
15017485,21-10-2024,Rio Tinto,Realizované,11,65.35,Buy Limit,xS5,-,718.85,-,-
15017400,21-10-2024,Alphabet,Realizované,6,165.00,Buy Limit,xS5,-,990.00,-,-
14053135,01-08-2024,Nike,Realizované,10,73.98,Buy,xS5,-,739.80,-,-
14052979,01-08-2024,WP Carey,Realizované,15,57.86,Buy,xS5,-,867.90,-,-
14052913,01-08-2024,NAT,Realizované,200,3.65,Buy,xS5,-,730.00,-,-
